C,OPDP.WORLD,NETWORK_OUTAGE,AEMO,PUBLIC,2019/04/29,13:30:06,0000000307290523,NETWORK,0000000307290523
I,NETWORK,OUTAGEDETAIL,3,OUTAGEID,SUBSTATIONID,EQUIPMENTTYPE,EQUIPMENTID,STARTTIME,ENDTIME,SUBMITTEDDATE,OUTAGESTATUSCODE,RESUBMITREASON,RESUBMITOUTAGEID,RECALLTIMEDAY,RECALLTIMENIGHT,LASTCHANGED,REASON,ISSECONDARY,ACTUAL_STARTTIME,ACTUAL_ENDTIME,COMPANYREFCODE
D,NETWORK,OUTAGEDETAIL,3,802359,DAPTO,LINE,8,"2019/04/22 08:00:00","2019/05/24 19:00:00","2018/04/11 15:22:46",WDRAWN,"Information Update",810048,1440,1440,"2018/08/30 17:32:01","HV equipt commissioning",0,,,TG_360105
D,NETWORK,OUTAGEDETAIL,3,802359,MARULAN,LINE,8,"2019/04/22 08:00:00","2019/05/24 19:00:00","2018/04/11 15:22:46",WDRAWN,"Information Update",810048,1440,1440,"2018/08/30 17:32:01","HV equipt commissioning",0,,,TG_360105
D,NETWORK,OUTAGEDETAIL,3,802360,SYD_STH,LINE,76,"2019/05/27 08:00:00","2019/05/31 17:00:00","2018/04/11 15:22:47",WDRAWN,"Information Update",813251,240,240,"2018/10/23 09:42:41","HV equipt commissioning",0,,,TG_357417
D,NETWORK,OUTAGEDETAIL,3,802360,WWANG,LINE,76,"2019/05/27 08:00:00","2019/05/31 17:00:00","2018/04/11 15:22:47",WDRAWN,"Information Update",813251,240,240,"2018/10/23 09:42:41","HV equipt commissioning",0,,,TG_357417
D,NETWORK,OUTAGEDETAIL,3,802361,DAPTO,LINE,8,"2019/06/03 08:00:00","2019/06/29 19:00:00","2018/04/11 15:23:50",WDRAWN,"Information Update",810051,1440,1440,"2018/08/30 17:42:31","HV equipt commissioning",0,,,TG_370700
D,NETWORK,OUTAGEDETAIL,3,802361,MARULAN,LINE,8,"2019/06/03 08:00:00","2019/06/29 19:00:00","2018/04/11 15:23:50",WDRAWN,"Information Update",810051,1440,1440,"2018/08/30 17:42:31","HV equipt commissioning",0,,,TG_370700
D,NETWORK,OUTAGEDETAIL,3,805126,KGTS,SVC,SVC,"2018/05/25 06:30:00","2019/05/08 17:00:00","2018/05/30 17:39:58",WDRAWN,"Information Update",805184,-1,-1,"2018/05/31 16:09:55","HV equipt maintenance",0,"2018/05/25 06:33:00",,10000020632
D,NETWORK,OUTAGEDETAIL,3,806117,KEMPS_CK,TRANS,2L,"2019/06/10 06:00:00","2019/06/21 17:00:00","2018/06/20 09:15:01",WDRAWN,"Information Update",820157,240,300,"2019/03/05 11:44:35","HV equipt commissioning",0,,,TG_380876
D,NETWORK,OUTAGEDETAIL,3,806304,PALMSTN,BUS,7MNB,"2019/05/06 08:00:00","2019/05/06 12:00:00","2018/06/22 14:10:25",MTLTP,,,120,0,"2019/03/07 13:32:42","HV equipt commissioning",0,,,9000315-out1
D,NETWORK,OUTAGEDETAIL,3,806304,PALMSTN,LINE,PO_PM5,"2019/05/06 08:00:00","2019/05/06 12:00:00","2018/06/22 14:10:25",MTLTP,,,120,0,"2019/03/07 13:32:42","HV equipt commissioning",0,,,9000315-out1
