C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,06:10:36,0000000307941288,P5MIN,0000000307941285
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 06:15:00","2019/05/16 06:15:00",0,553646671.2690,0,0,0,160.533,0,0,,,,,0,0,0,0,"2019/05/16 06:10:25"
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 07:00:00",NSW1,151.90258,151.90258,0,2,2,7.77187,7.77187,1,1,42.5514,42.5514,0,0,0.05,0.05,0.19,0.19,12.5,12.5,8805.46,10826.669,0,40.20934,7683.86,0,-1121.6,,,51,,,,,21,,,,,1,,,,,172.93,,,,,75,,,,,35,,,31.51981,8784.53,8825.11,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8829.609870,620.669,438.86001,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 07:05:00",NSW1,104.75105,104.75105,0,1,1,1.49,1.49,0.99,0.99,23.73,23.73,0,0,0.04,0.04,0.19,0.19,9,9,8824.31,11152.902,0,18.85458,7912.4,0,-911.91,,,50,,,,,15.21,,,,,0,,,,,156.98,,,,,36,,,,,29,,,31.51981,8825.11,8842.86,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8847.359870,614.902,432.39801,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 07:10:00",NSW1,115.57032,115.57032,0,1.45,1.45,3,3,0.99,0.99,23.73,23.73,0,0,0.04,0.04,0.17,0.17,9,9,8888.33,11150.2,0,64.01683,7924.26,0,-964.07,,,50,,,,,17.99,,,,,0,,,,,161.98,,,,,53,,,,,29,,,31.51981,8842.86,8906.4,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8910.899870,612.2,429.25901,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:15:00",QLD1,88.35764,88.35764,0,5.89,5.89,5,5,0.99,0.99,41.35759,41.35759,0,0,0.05,0.05,0.19,0.19,14,14,6119.65,10118.818,0,31.87549,6572.46,0,452.81,,,0,,,,,0,,,,,0,,,,,84,,,,,48,,,,,71.89,,,45.18593,6045.2666,6123,,0,25,,,,0,76.99,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",106.32375,6229.323750,168.818,168.818,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:20:00",QLD1,87.07297,87.07297,0,5.89,5.89,5,5,0.99,0.99,28.07285,28.07285,0,0,0.05,0.05,0.19,0.19,12.5,12.5,6145.79,10119.971,0,26.13524,6695.02,0,549.24,,,0,,,,,0,,,,,0,,,,,84,,,,,48,,,,,54.24,,,45.18593,6123,6151.2,,0,25,,,,0,76.99,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",106.32375,6257.523750,169.971,169.971,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:25:00",QLD1,88.83465,88.83465,0,5,5,5,5,0.99,0.99,33.15,33.15,0,0,0.05,0.05,0.19,0.19,12.5,12.5,6204.02,10119.505,0,58.23283,6718.4,0,514.39,,,0,,,,,0,,,,,0,,,,,84,,,,,47.01,,,,,48.01,,,45.18593,6151.2,6208.6,,0,25,,,,0,76.99,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",106.32375,6314.923750,169.505,169.505,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:30:00",QLD1,97.95489,97.95489,0,9.81,9.81,5,5,0.99,0.99,38.95487,38.95487,0,0,0.05,0.05,0.19,0.19,12.5,12.5,6259.53,10117.28,0,55.51347,6751.19,0,491.66,,,0,,,,,0,,,,,0,,,,,84,,,,,23,,,,,24,,,45.18593,6208.6,6263.62,,0,25,,,,0,76.99,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",106.32375,6369.943750,167.28,167.28,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:35:00",QLD1,93.7301,93.7301,0,9.49,9.49,5.89,5.89,1,1,34,34,0.01,0.01,0.04,0.04,0.19,0.19,12.5,12.5,6317.89,10115.11,0,58.36273,6892.54,0,574.64,,,0,,,,,0,,,,,0,,,,,84,,,,,53.2,,,,,79.2,,,45.18593,6263.62,6323.92,,0,25,,,,0,76.99,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",106.32375,6430.243750,166.11,166.11,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:40:00",QLD1,111.63543,111.63543,0,20.7,20.7,5.89,5.89,1,1,41.63541,41.63541,0.01,0.01,0.04,0.04,0.19,0.19,12.5,12.5,6364.65,10115.294,0,46.75158,7045.2,0,680.56,,,0,,,,,0,,,,,0,,,,,84,,,,,51.85,,,,,59,,,45.18593,6323.92,6373.71,,0,25,,,,0,76.99,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",106.32375,6480.033750,166.294,166.294,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:45:00",QLD1,104.75645,104.75645,0,20.7,20.7,9.49,9.49,2,2,34.94,34.94,0.03,0.03,0.11,0.11,0.2,0.2,14.73,14.73,6367.95,10116.019,0,3.30474,7033.92,0,665.97,,,0,,,,,0,,,,,0,,,,,85,,,,,92.03,,,,,102.01,,,45.18593,6373.71,6376.61,,0,49,,,,0,78.99,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",106.32375,6482.933750,167.019,167.019,0
