C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/05/22,04:00:08,0000000308171094,DISPATCHSCADA,0000000308171088
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LD01,300.524960
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LD02,401.8125
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LD03,354.3187
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LD04,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LEM_WIL,73.4082
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LGAPWF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LILYSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LI_WY_CA,105.888180
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LKBONNY2,25.972020
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LKBONNY3,6.698640
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LK_ECHO,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LNGS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LNGS2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LONSDALE,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LOYYB1,536.088620
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LOYYB2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LYA1,376
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LYA2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LYA3,560
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LYA4,540
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MACARTH1,64.198520
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MACKAYGT,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MACKNTSH,72.850010
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MANSLR1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MCKAY1,0.02
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MEADOWBK,19.891680
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MERCER01,52.2330
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MEWF1,123.1913
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MINTARO,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MOREESF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MORTLK11,124
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MORTLK12,124
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MP1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MP2,304.025020
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MPP_1,425.50
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MPP_2,435.50
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MSTUART1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MSTUART2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MSTUART3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MTGELWF1,32.308420
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MURRAY,169.957370
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MUSSELR1,105
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",MUWAWF1,1.15
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",NBHWF1,-0.20
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",NPS,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",NUMURSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",NYNGAN1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",OAKEY1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",OAKEY1SF,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",OAKEY2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",OAKLAND1,3.40
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",OSB-AG,139.98
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PARSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",POAT110,1.247040
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",POAT220,44.134720
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",POR01,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",POR03,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PPCCGT,490.397860
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PTSTAN1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PUMP1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",PUMP2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",QPS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",QPS2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",QPS3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",QPS4,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",QPS5,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",REECE1,101.23
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",REECE2,99.640010
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ROMA_7,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ROMA_8,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RRSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_NSW1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_NSW2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_NSW3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_NSW4,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_NSW5,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_NSW6,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_QLD1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_SA1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_SA2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_SA3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_SA4,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_SA5,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_SA6,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_TAS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC10,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC11,0
