C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,04:00:38,0000000307938051,P5MIN,0000000307938048
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:25:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:30:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:40:00",14.76,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:45:00",14.83,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:50:00",15.09,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:55:00",14.68,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 05:00:00",10.7,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:15:00",7.4,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:20:00",14.43,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:25:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:30:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:40:00",14.76,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:45:00",14.83,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:50:00",15.09,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 04:55:00",14.68,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ12,"2019/05/16 05:00:00",10.7,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:15:00",7.4,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:20:00",14.43,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:25:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:30:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:40:00",14.76,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:45:00",14.83,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:50:00",15.09,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 04:55:00",14.68,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ13,"2019/05/16 05:00:00",10.7,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:15:00",7.4,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:20:00",14.43,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:25:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:30:00",14.42,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:40:00",14.76,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:45:00",14.83,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:50:00",15.09,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ14,"2019/05/16 04:55:00",14.68,2,"2019/05/16 04:00:26"
