DUID,Region,Fuel Source,Our Value,AEMO Value,Our Value minus AEMO Value
TARRALEA,TAS1,Hydro,76.5,76.5,0.0
MACKNTSH,TAS1,Hydro,81.0,81.0,0.0
LEM_WIL,TAS1,Hydro,86.0,86.0,0.0
DEVILS_G,TAS1,Hydro,0.0,0.0,0.0
FISHER,TAS1,Hydro,46.0,46.0,0.0
TRIBUTE,TAS1,Hydro,0.0,0.0,0.0
BBTHREE1,TAS1,Fossil,0.0,0.0,0.0
CETHANA,TAS1,Hydro,0.0,0.0,0.0
LK_ECHO,TAS1,Hydro,0.0,0.0,0.0
MURRAY,VIC1,Hydro,0.0,0.0,0.0
BDL01,VIC1,Fossil,0.0,0.0,0.0
SALTCRK1,VIC1,Wind,33.095,33.095,0.0
LNGS2,VIC1,Fossil,0.0,0.0,0.0
VPGS5,VIC1,Fossil,0.0,0.0,0.0
OAKLAND1,VIC1,Wind,61.71,61.71,0.0
JLA01,VIC1,Fossil,0.0,0.0,0.0
JLB03,VIC1,Fossil,0.0,0.0,0.0
MERCER01,VIC1,Wind,114.43,114.43,0.0
LYA3,VIC1,Fossil,25.0,0.0,25.0
EILDON2,VIC1,Hydro,14.399999999999999,39.0,-24.6
LYA1,VIC1,Fossil,526.0,500.0,26.0
LOYYB2,VIC1,Fossil,600.0,580.0,20.0
LYA4,VIC1,Fossil,565.0,540.0,25.0
YWPS4,VIC1,Fossil,334.22659,360.0,-25.773410000000013
ARWF1,VIC1,Wind,131.371,131.371,0.0
NPS,VIC1,Fossil,50.0,0.0,50.0
AGLSOM,VIC1,Fossil,0.0,0.0,0.0
MACARTH1,VIC1,Wind,240.469,240.469,0.0
VPGS2,VIC1,Fossil,0.0,0.0,0.0
VPGS1,VIC1,Fossil,0.0,0.0,0.0
GANNSF1,VIC1,Solar,0.0,0.0,0.0
MCKAY1,VIC1,Hydro,0.0,0.0,0.0
JLB02,VIC1,Fossil,0.0,0.0,0.0
CROWLWF1,VIC1,Wind,69.758,69.758,0.0
YWPS1,VIC1,Fossil,355.92657,380.0,-24.073429999999973
BALBG1,VIC1,Battery storage,0.0,0.0,0.0
KARSF1,VIC1,Solar,0.0,0.0,0.0
VPGS6,VIC1,Fossil,0.0,0.0,0.0
LOYYB1,VIC1,Fossil,550.0,538.0,12.0
WEMENSF1,VIC1,Solar,0.0,0.0,0.0
MTGELWF1,VIC1,Wind,23.726,23.726,0.0
LYA2,VIC1,Fossil,25.0,0.0,25.0
VPGS4,VIC1,Fossil,0.0,0.0,0.0
KIATAWF1,VIC1,Wind,30.721,30.721,0.0
YWPS3,VIC1,Fossil,347.49368,376.46243,-28.96875
JLA04,VIC1,Fossil,0.0,0.0,0.0
GANNBG1,VIC1,Battery storage,0.0,0.0,0.0
MORTLK12,VIC1,Fossil,0.0,0.0,0.0
BALDHWF1,VIC1,Wind,7.936,7.936,0.0
HUMEV,VIC1,Hydro,61.0,11.0,50.0
BDL02,VIC1,Fossil,0.0,0.0,0.0
DARTM1,VIC1,Hydro,0.0,0.0,0.0
JLA02,VIC1,Fossil,0.0,0.0,0.0
BANN1,VIC1,Solar,0.0,0.0,0.0
JLB01,VIC1,Fossil,0.0,0.0,0.0
YWPS2,VIC1,Fossil,361.69113,380.0,-18.308870000000013
LNGS1,VIC1,Fossil,0.0,0.0,0.0
WKIEWA1,VIC1,Hydro,0.0,0.0,0.0
NUMURSF1,VIC1,Solar,0.0,0.0,0.0
WKIEWA2,VIC1,Hydro,0.0,0.0,0.0
MORTLK11,VIC1,Fossil,0.0,0.0,0.0
YENDWF1,VIC1,Wind,142.0,42.0,100.0
MUWAWF1,VIC1,Wind,43.605,43.605,0.0
EILDON1,VIC1,Hydro,0.0,0.0,0.0
VPGS3,VIC1,Fossil,0.0,0.0,0.0
JLA03,VIC1,Fossil,0.0,0.0,0.0
