Datetime,Generator RAISE5MIN,Load RAISE5MIN,Price RAISE5MIN,Generator LOWER5MIN,Load LOWER5MIN,Price LOWER5MIN,Generator RAISE6SEC,Load RAISE6SEC,Price RAISE6SEC,Generator LOWER6SEC,Load LOWER6SEC,Price LOWER6SEC,Generator RAISE60SEC,Load RAISE60SEC,Price RAISE60SEC,Generator LOWER60SEC,Load LOWER60SEC,Price LOWER60SEC,Generator (MW),Load (MW),E (MWh),SOC (%),Price ($/MWh)
2021-09-14 04:15:00,141.18577000000005,0.0,0.26,0.0,88.32720999999998,0.18,189.34524,0.0,0.98,0.0,63.66678999999999,0.03,272.34524,0.0,0.61,0.0,47.19671999999997,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 04:20:00,220.26850000000002,0.0,0.26,0.0,88.72363999999999,0.18,213.52796,0.0,0.98,0.0,82.25741,0.03,288.0,0.0,0.75,0.0,46.55045999999999,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,58.75202592192869
2021-09-14 04:25:00,164.33488,0.0,0.26,0.0,84.59001,0.18,212.87424,0.0,0.98,0.0,32.01754,0.03,288.0,0.0,0.75,0.0,17.99455999999998,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,66.98113207891997
2021-09-14 04:30:00,168.12537999999995,0.0,0.26,0.0,88.42705999999998,0.18,215.51779999999997,0.0,0.98,0.0,81.44180612021813,0.03,288.0,0.0,0.75,0.0,44.41747612021811,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.82539685050169
2021-09-14 04:35:00,172.04688999999996,0.0,0.26,0.0,80.07943,0.18,219.09478000000001,0.0,0.98,0.0,85.02544,0.03,289.0,0.0,0.75,0.0,48.76400000000001,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 04:40:00,171.57815000000005,0.0,0.26,0.0,77.54933867634429,0.18,218.33826,0.0,0.98,0.0,59.96720640190412,0.03,289.0,0.0,0.75,0.0,50.07506640190408,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,63.381431011393545
2021-09-14 04:45:00,173.70430999999996,0.0,0.26,0.0,77.88337999999999,0.18,220.29480999999998,0.0,0.98,0.0,74.4097718825025,0.03,289.0,0.0,0.75,0.0,65.70136298445422,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,65.28630013263047
2021-09-14 04:50:00,174.16655000000003,0.0,0.26,0.0,80.89954999999998,0.18,220.79470000000003,0.0,0.98,0.0,81.32734999999997,0.03,289.0,0.0,0.75,0.0,49.50389999999999,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 04:55:00,220.69575999999995,0.0,0.26,0.0,78.67993000000001,0.18,211.81155,0.0,0.98,0.0,86.5544739101171,0.03,289.0,0.0,0.75,0.0,59.37745391011708,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,65.29988926345708
2021-09-14 05:00:00,162.08810000000005,0.0,0.26,0.0,78.59710999999999,0.18,208.01058999999998,0.0,0.98,0.0,70.31961000000001,0.03,289.0,0.0,0.73,0.0,40.46816000000001,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,66.8557536400108
2021-09-14 05:05:00,209.40790000000004,0.0,0.26,0.0,79.07598000000002,0.18,190.58105999999998,0.0,0.98,0.0,40.025372374768864,0.03,257.3083327272727,0.0,0.61,0.0,29.074819041435518,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,66.98113207891997
2021-09-14 05:10:00,168.03432999999995,0.0,0.26,0.0,77.83785,0.18,209.1860765753425,0.0,0.98,0.0,104.6912861601055,0.03,261.65183,0.0,0.61,0.0,96.01446616010554,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,66.8557536400108
2021-09-14 05:15:00,164.1563,0.0,0.26,0.0,29.491434041693935,0.18,216.28025981132072,0.0,0.98,0.0,88.21464877361319,0.03,270.2802598113207,0.0,0.61,0.0,74.96515877361321,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,65.14071830021673
2021-09-14 05:20:00,172.89886,0.0,0.26,0.0,29.24029999999999,0.18,221.59066511471804,0.0,0.98,0.0,128.79682000000003,0.03,275.59066511471804,0.0,0.61,0.0,121.14771999999999,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,66.8557536400108
2021-09-14 05:25:00,170.96329000000003,0.0,0.26,0.0,34.95940999999999,0.18,222.01150981132076,0.0,0.98,0.0,69.47574014948219,0.03,271.65,0.0,0.73,0.0,69.1663001494822,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,88.60555291572476
2021-09-14 05:30:00,167.37300000000005,0.0,0.26,0.0,35.484309999999994,0.18,214.78973909090917,0.0,0.98,0.0,109.11768144032231,0.03,268.78973909090917,0.0,0.61,0.0,109.72489144032232,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,67.46009808595448
2021-09-14 05:35:00,179.30931999999996,0.0,0.26,0.0,32.542970000000025,0.18,228.34821402515723,0.0,0.98,0.0,36.802335981012405,0.03,259.56,0.0,0.75,0.0,33.95415598101245,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 05:40:00,176.35715000000005,0.0,0.26,0.0,38.75326000000001,0.18,241.3290924528302,0.0,0.98,0.0,27.839920000000006,0.03,254.0,0.0,0.99,0.0,30.11554000000001,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 05:45:00,177.00850000000003,0.0,0.26,0.0,37.331770000000006,0.18,244.57676999999995,0.0,0.98,0.0,0.0,0.03,250.58,0.0,1.0,0.0,0.0,0.15,0.0,0.0,1104.6702266440507,36.822340888135024,66.8557536400108
2021-09-14 05:50:00,169.46182,0.0,0.26,0.0,33.94484,0.18,236.82728000000003,0.0,0.98,0.0,5.340574927675561,0.03,253.44,0.0,0.99,0.0,0.4508400000000137,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,61.514096878090754
2021-09-14 05:55:00,173.64004999999997,0.0,0.26,0.0,39.734320000000025,0.18,247.2642233333333,0.0,0.98,0.0,0.0,0.03,248.34,0.0,1.0,0.0,6.563609999999983,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,66.85575365334414
2021-09-14 06:00:00,182.64136999999994,0.0,0.26,0.0,35.19351999999998,0.18,248.26,0.0,1.0,0.0,0.0,0.03,248.26,0.0,1.0,0.0,2.513209999999958,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,62.8210917138688
2021-09-14 06:05:00,216.94,0.0,0.26,0.0,10.300470000000018,0.18,216.94,0.0,2.0,0.0,34.52736999999999,0.03,216.94,0.0,1.73,0.0,0.0,0.15,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 06:10:00,211.7963499999999,0.0,0.26,0.0,6.918619999999976,0.18,216.85,0.0,2.0,0.0,0.0,0.03,216.85,0.0,1.98,0.0,0.0,0.15,0.0,0.0,1104.6702266440507,36.822340888135024,84.18208555532586
2021-09-14 06:15:00,205.41218000000003,0.0,0.26,0.0,39.05368823068324,0.18,208.94,0.0,2.0,0.0,0.0,0.03,208.94,0.0,1.73,0.0,0.0,0.15,0.0,0.0,1104.6702266440507,36.822340888135024,84.86085377444253
2021-09-14 06:20:00,222.64,0.0,0.3,0.0,4.804649999999981,0.18,222.64,0.0,2.1137919428382563,0.0,0.0,0.03,222.64,0.0,2.0,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,84.849930139143
2021-09-14 06:25:00,217.79999999999995,0.0,0.3,0.0,0.0,0.19,217.79999999999995,0.0,2.7246902152518917,0.0,0.0,0.03,217.79999999999995,0.0,2.0,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,85.46082841155663
2021-09-14 06:30:00,213.4,0.0,0.35,0.0,0.0,0.18,213.4,0.0,2.78,0.0,0.0,0.01,213.4,0.0,2.0,0.0,0.0,0.07,0.0,0.0,1104.6702266440507,36.822340888135024,83.95915250585065
2021-09-14 06:35:00,211.22,0.0,0.35,0.0,0.0,0.18,211.22,0.0,4.99,0.0,0.0,0.01,211.22,0.0,1.73,0.0,0.0,0.07,0.0,0.0,1104.6702266440507,36.822340888135024,85.14373021039596
2021-09-14 06:40:00,224.24,0.0,0.3,0.0,0.0,0.18,224.24,0.0,4.058748783467587,0.0,0.0,0.01,224.24,0.0,1.73,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,83.4750660597738
2021-09-14 06:45:00,214.99,0.0,0.35,0.0,0.0,0.18,214.99,0.0,5.0,0.0,0.0,0.01,214.99,0.0,1.8931844330421157,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,80.94861511596531
2021-09-14 06:50:00,209.4696,0.0,0.26,0.0,0.0,0.18,215.11,0.0,2.5,0.0,0.0,-0.0,215.11,0.0,1.73,0.0,0.0,0.05,0.0,0.0,1104.6702266440507,36.822340888135024,75.81589906910209
2021-09-14 06:55:00,209.0999999999999,0.0,0.3,0.0,0.0,0.18,209.0999999999999,0.0,2.78,0.0,0.0,0.03,209.0999999999999,0.0,1.73,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,75.89937247106089
2021-09-14 07:00:00,212.01,0.0,0.26,0.0,0.0,0.18,212.01,0.0,2.0,0.0,0.0,0.03,212.01,0.0,1.7,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 07:05:00,199.34871999999996,0.0,0.26,0.0,0.0,0.18,212.42,0.0,2.0,0.0,0.0,0.01,212.42,0.0,1.7,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
2021-09-14 07:10:00,156.92094999999995,0.0,0.26,0.0,27.725279999999998,0.18,207.1,0.0,1.0,0.0,3.994320000000016,0.03,207.1,0.0,1.0,0.0,0.0,0.15,0.0,0.0,1104.6702266440507,36.822340888135024,48.38579499596449
2021-09-14 07:15:00,189.47,0.0,0.26,0.0,0.0,0.18,189.47,0.0,1.73,0.0,0.0,0.03,189.47,0.0,1.49,0.0,0.0,0.15,0.0,0.0,1104.6702266440507,36.822340888135024,48.38579499596449
2021-09-14 07:20:00,155.87406,0.0,0.26,0.0,21.198980000000006,0.18,206.13,0.0,1.45,0.0,0.0,0.03,206.13,0.0,1.49,0.0,0.0,0.15,0.0,0.0,1104.6702266440507,36.822340888135024,48.38579499596449
2021-09-14 07:25:00,155.97918000000004,0.0,0.26,0.0,0.0,0.18,213.25,0.0,1.45,0.0,0.0,0.03,213.25,0.0,1.49,0.0,0.0,0.07,0.0,0.0,1104.6702266440507,36.822340888135024,45.48958106742769
2021-09-14 07:30:00,213.25,0.0,0.26,0.0,0.0,0.18,213.25,0.0,1.98,0.0,0.0,-0.0,213.25,0.0,1.49,0.0,0.0,0.07,0.0,0.0,1104.6702266440507,36.822340888135024,46.27933286960082
2021-09-14 07:35:00,214.3,0.0,0.26,0.0,0.0,0.18,214.3,0.0,1.104237745141243,0.0,0.0,-0.0,214.3,0.0,1.0,0.0,0.0,0.07,0.0,0.0,1104.6702266440507,36.822340888135024,38.16502044739451
2021-09-14 07:40:00,159.81631000000004,0.0,0.26,0.0,0.0,0.18,214.31,0.0,1.45,0.0,0.0,0.03,214.31,0.0,1.0,0.0,0.0,0.03,0.0,0.0,1104.6702266440507,36.822340888135024,47.30107477814782
2021-09-14 07:45:00,161.39770999999996,0.0,0.26,0.0,2.9877600000000086,0.18,219.25,0.0,1.45,0.0,0.0,-0.0,219.25,0.0,1.49,0.0,0.0,0.07,0.0,0.0,1104.6702266440507,36.822340888135024,44.79069677966649
2021-09-14 07:50:00,0.0,0.0,0.88,0.0,0.0,0.18,0.0,0.0,20.0,0.0,0.0,0.03,0.0,0.0,7.73,0.0,0.0,0.07,0.0,0.0,1104.6702266440507,36.822340888135024,38.45551157990679
2021-09-14 07:55:00,0.0,0.0,0.88,0.0,0.0,0.18,0.0,0.0,20.0,0.0,0.0,-0.0,0.0,0.0,7.116872222222222,0.0,0.0,0.05,0.0,0.0,1104.6702266440507,36.822340888135024,39.44871199542603
2021-09-14 08:00:00,0.0,0.0,0.8,0.0,0.0,0.18,0.0,0.0,10.25,0.0,0.0,0.03,0.0,0.0,2.5,0.0,0.0,0.08,0.0,0.0,1104.6702266440507,36.822340888135024,42.89910857995138
2021-09-14 08:05:00,185.64764000000002,0.0,0.26,0.0,43.52267999999998,0.18,206.31,0.0,1.0,0.0,29.283210162546226,0.03,206.31,0.0,1.0,0.0,47.98597410315895,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,55.85338615057163
2021-09-14 08:10:00,142.66940999999997,0.0,0.26,0.0,52.66942,0.18,208.9,0.0,1.0,0.0,20.223300000000023,0.03,208.9,0.0,1.0,0.0,39.323290000000014,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,44.522993341923204
2021-09-14 08:15:00,159.42692999999997,0.0,0.26,0.0,0.0,0.18,215.31,0.0,1.45,0.0,55.83485999999999,0.03,215.31,0.0,1.49,0.0,29.634839999999997,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,48.38579499596449
2021-09-14 08:20:00,163.16790000000003,0.0,0.26,0.0,0.0,0.18,225.31,0.0,1.0,0.0,19.721600000000024,0.03,225.31,0.0,1.0,0.0,20.821590000000015,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,38.233435164127215
2021-09-14 08:25:00,180.64122999999995,0.0,0.26,0.0,1.7412199999999984,0.18,91.27426690144883,0.0,0.98,0.0,21.51798000000001,0.03,215.64,0.0,1.7,0.0,36.91802,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,37.94831234332431
